cust_id,총구매액,구매건수,평균구매액,최대구매액,구매상품종류1,내점일수,구매주기,봄-구매비율,여름-구매비율,가을-구매비율,겨울-구매비율,환불금액,환불건수,내점당구매액,내점당구매건수,주구매상품,주구매지점,구매 추세 기울기,화장품구매주기,식료품구매액비율,평균식료품구매액분위,고가상품구매율,베스트셀러구매비율,환불비율,스타킹구매건수,고객등급,평일방문비율,평균대비구매비중,주환불상품,남성포함상품구매건수,여성키워드상품구매건수,다양한 매장 방문,가격선호도,라이프 스타일(평균),라이프 스타일(건수),주구매 요일,선호방문계절,선호방문월,행사상품구매수,저가상품구매율,요일 간 구매건수 편차,충동지수,남성용품구매건수,여성용품구매건수,하루 최고 구매 건수,만족도 떨어지는 제품 총 구입금액,만족도 떨어지는 제품 총 구매건수,가성비 제품 총 구입금액,휴면일수,취미용품 구매비율,아동용품 구매건수,명절식품비용,발렌타인,화이트,단독상품군구매율,endmonth,구매액표준편차,중복구매배수,의류_거래율(의류+식품+생활잡화),패션_대비_남성상품_거래율,패션_대비_여성상품_거래율,전체방문_중_환불방문(표준화),월_재방문율,시즌 마감 방문비율,상반기 구매비율,구매 추세,주구매지점재방문률,내점시마다 구매액의 일관성
12,2895000,2,1447500,2475000,2,2,16,1.0,0.0,0.0,0.0,,,1447500.0,1.0,남성 캐주얼,분당점,-0.03,,0.14507772020725387,5.0,0.5,0.0,0.0,,수면고객,1.0,2.0003783614373964,,1.0,,1,2.0,남성의류,남성의류,금,spring,5,,0.0,0.5,0.5,0,0,1,,0,,220,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1453104.4353383551,1.0,0.0,0.0,0.0,-0.48535879389016523,0.09090909090909091,1.0,1.0,-1.0,50.0,1055756250000.0
13,103217000,58,1779603,14616000,21,27,10,0.20689655172413793,0.41379310344827586,0.2413793103448276,0.13793103448275862,13173720.0,6.0,3822851.8518518517,2.1481481481481484,시티웨어,분당점,0.2,,0.0,,0.41,0.4827586206896552,0.10344827586206896,,2등급고객,0.896551724137931,71.32057109930354,니  트,,1.0,1,2.0,여성의류,의류,화,summer,8,3.0,0.14,0.3103448275862069,0.037037037037037035,1,7,6,8988000.0,11,60590000.0,27,0.038461538461538464,2.0,0.0,0.0,0.0,0.05172413793103448,0.48602458897274675,3199909.642025028,2.761904761904762,1.0,0.075,0.2,1.1353270342171216,0.9090909090909091,1.0,0.3275862068965517,0.3448275862068966,98.28,20012225364600.273
14,123565660,312,396044,22500000,59,84,4,0.3685897435897436,0.18269230769230768,0.23076923076923078,0.21794871794871795,7833000.0,6.0,1471019.761904762,3.7142857142857144,농산물,본  점,-0.21,22.0,0.2541675413703128,4.0,0.14,0.6987179487179487,0.019230769230769232,,vip고객,0.6794871794871795,85.38102676363745,비지니스군,4.0,24.0,2,1.0,남성의류,식품,토,fall,3,6.0,0.44,0.2564102564102564,0.011904761904761904,8,17,11,,0,87631360.0,4,0.016339869281045753,0.0,204600.0,0.0,0.0,0.019230769230769232,0.44652802404810527,1491487.703918254,5.288135593220339,0.046948356807511735,0.18181818181818182,0.5227272727272727,-0.09465774604287286,1.0,1.2261904761904763,0.5769230769230769,-0.1538461538461538,99.36,7827926785188.043
15,802390550,545,1472276,123488000,159,152,2,0.1963302752293578,0.24587155963302754,0.3321100917431193,0.22568807339449543,87054200.0,21.0,5278885.197368421,3.585526315789474,기타,본  점,2.18,20.0,0.037082203921768524,3.0,0.21,0.6128440366972477,0.03853211009174312,2.0,vip고객,0.8220183486238533,554.4334002217103,상품군미지정,5.0,26.0,2,2.0,가전,식품,금,fall,10,12.0,0.46,0.13394495412844037,0.006578947368421052,18,38,15,6272000.0,11,299890410.0,0,0.009541984732824428,9.0,17474280.0,0.0,1.0,0.007339449541284404,0.529829420348981,7438412.459459743,3.4276729559748427,0.09907120743034056,0.11956521739130435,0.391304347826087,0.5942098909510375,1.0,1.0855263157894737,0.41651376146788993,0.1669724770642202,94.68,297342276569278.8
16,359589000,58,6199810,73684240,34,26,13,0.25862068965517243,0.27586206896551724,0.1206896551724138,0.3448275862068966,,,13830346.153846154,2.230769230769231,골프,본  점,-0.17,38.0,0.004637878244328942,4.0,0.52,0.3620689655172414,0.0,,2등급고객,0.6379310344827587,248.46772179996958,,,13.0,2,4.0,가전,예체능,일,fall,12,2.0,0.17,0.29310344827586204,0.038461538461538464,15,5,8,,0,69616160.0,7,0.22413793103448276,0.0,0.0,0.0,0.0,0.1206896551724138,0.2880340054896006,14651023.506148135,1.7058823529411764,0.15,0.5416666666666666,0.375,-0.48535879389016523,0.8181818181818182,0.8846153846153846,0.5689655172413793,-0.13793103448275867,96.55,391004943562608.4
17,114421760,52,2200418,28560000,21,23,14,0.40384615384615385,0.07692307692307693,0.15384615384615385,0.36538461538461536,59424000.0,9.0,4974859.130434782,2.260869565217391,화장품,본  점,-0.88,35.0,0.011448871263647754,5.0,0.83,0.4230769230769231,0.17307692307692307,1.0,3등급고객,0.7692307692307693,79.06280234251572,상품군미지정,2.0,10.0,1,3.0,화장품,의류,토,fall,1,1.0,0.25,0.23076923076923078,0.043478260869565216,3,7,5,6714400.0,12,91304960.0,31,0.06976744186046512,1.0,0.0,0.0,0.0,0.07692307692307693,0.6188962658850904,7420202.792630556,2.4761904761904763,0.5,0.19047619047619047,0.6190476190476191,2.3684575556031007,0.9090909090909091,0.5217391304347826,0.7884615384615384,-0.5769230769230769,98.08,99704872036573.12
18,43857600,7,6265371,24000000,6,2,10,0.0,0.0,1.0,0.0,,,21928800.0,3.5,보석,본  점,0.12,,0.0,,0.71,0.14285714285714285,0.0,,3등급고객,0.2857142857142857,30.30459206375708,,1.0,1.0,1,4.0,남성의류,남성의류,일,fall,9,,0.0,0.7142857142857143,0.5,1,4,5,7744000.0,1,10994000.0,92,0.0,1.0,0.0,0.0,0.0,1.0,0.36499033234832734,8171647.053422846,1.1666666666666667,1.0,0.25,0.5,-0.48535879389016523,0.0,2.5,0.0,1.0,85.71,35060609440000.0
19,3074660,19,161824,500000,12,2,11,1.0,0.0,0.0,0.0,,,1537330.0,9.5,농산물,일산점,-0.25,,0.6711181073679692,4.0,0.0,0.6842105263157895,0.0,,3등급고객,1.0,2.1245192859333697,,,,1,1.0,의류,식품,수,spring,5,2.0,0.47,0.631578947368421,0.5,1,0,12,,0,3074660.0,243,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,167612.82907395673,1.5833333333333333,0.058823529411764705,0.0,0.0,-0.48535879389016523,0.09090909090909091,0.0,1.0,-1.0,94.74,1812204900.0
20,52855460,36,1468207,9711000,25,11,26,0.3611111111111111,0.3333333333333333,0.16666666666666666,0.1388888888888889,,,4805041.818181818,3.272727272727273,기타,잠실점,-0.05,,0.039181571780852915,4.0,0.31,0.4722222222222222,0.0,,3등급고객,0.9722222222222222,36.52190620650081,,3.0,,2,2.0,예체능,식품,목,spring,4,1.0,0.36,0.3333333333333333,0.09090909090909091,2,2,9,14292500.0,3,37807160.0,16,0.027777777777777776,0.0,0.0,0.0,0.0,0.19444444444444445,0.5721999203109764,2563958.0254928526,1.44,0.23529411764705882,0.6,0.0,-0.48535879389016523,0.5454545454545454,0.6363636363636364,0.5277777777777778,-0.05555555555555558,52.78,15048949324160.33
21,208520880,1521,137095,20280000,114,278,1,0.3063773833004602,0.28336620644312954,0.20052596975673898,0.20973044049967127,1524900.0,1.0,750075.1079136691,5.471223021582734,농산물,부산본점,-3.58,35.0,0.3743257749535682,2.0,0.02,0.6081525312294543,0.0006574621959237344,,vip고객,0.7337278106508875,144.0831282417561,수영복,3.0,13.0,1,1.0,아동용품,식품,금,fall,3,26.0,0.76,0.04536489151873768,0.0035971223021582736,19,2,18,,0,119430820.0,1,0.005263157894736842,3.0,1255300.0,0.0,0.0,0.0026298487836949377,0.4297777277747917,866292.0378747847,13.342105263157896,0.0028929604628736743,0.43478260869565216,0.43478260869565216,-0.4460076092148984,1.0,1.6474820143884892,0.5470085470085471,-0.09401709401709407,99.93,5072466547617.076
22,128221640,227,564853,17232000,43,65,5,0.27312775330396477,0.22026431718061673,0.2511013215859031,0.2555066079295154,18596800.0,3.0,1972640.6153846155,3.4923076923076923,농산물,잠실점,-0.16,18.0,0.1327405420801044,3.0,0.12,0.6387665198237885,0.013215859030837005,7.0,1등급고객,0.7929515418502202,88.59820176995362,상품군미지정,,23.0,2,2.0,화장품,식품,월,fall,4,2.0,0.5,0.16740088105726872,0.015384615384615385,0,9,13,,0,109546540.0,5,0.0,1.0,688950.0,0.0,0.0,0.013215859030837005,0.519836589206003,2465364.2707531494,5.27906976744186,0.05202312138728324,0.0,0.8709677419354839,-0.14875481420634407,1.0,0.9538461538461539,0.4889867841409692,0.022026431718061623,97.8,21249037896193.477
23,450640,6,75107,165000,5,1,0,0.0,0.0,1.0,0.0,,,450640.0,6.0,농산물,분당점,0.19,,0.9953399609444346,2.0,0.0,0.8333333333333334,0.0,,2.5등급고객,1.0,0.3113818669423656,,,,1,1.0,식품,식품,수,fall,11,,0.67,1.0,1.0,1,0,6,,0,395640.0,54,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,56317.26792615802,1.2,0.0,0.0,0.0,-0.48535879389016523,0.0,0.0,0.0,1.0,83.33,0.0
24,52498250,40,1312456,12201000,13,15,9,0.9,0.0,0.0,0.1,3146000.0,1.0,3499883.3333333335,2.6666666666666665,가공식품,영등포점,-0.87,27.0,0.008533617787259576,1.0,0.38,0.7,0.025,2.0,2등급고객,0.8,36.27508231893982,디자이너부틱,,4.0,1,2.0,명품,식품,수,spring,3,,0.52,0.25,0.06666666666666667,1,12,10,4950000.0,2,52498250.0,224,0.0,0.0,0.0,0.0,1.0,0.05,0.4428338087460058,2697842.1754219756,3.076923076923077,0.2631578947368421,0.0,0.75,0.2439498287581139,0.36363636363636365,0.6,1.0,-1.0,97.5,11411379223888.887
25,550000,1,550000,550000,1,1,0,1.0,0.0,0.0,0.0,,,550000.0,1.0,스포츠,본  점,-0.02,,0.0,,0.0,0.0,0.0,,신규고객,1.0,0.3800373398240304,,,,1,2.0,예체능,예체능,수,spring,3,,0.0,1.0,1.0,1,0,1,,0,,285,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,0.0,-0.48535879389016523,0.0,1.0,1.0,-1.0,0.0,0.0
26,301903130,148,2039886,53050000,72,53,6,0.24324324324324326,0.16891891891891891,0.2972972972972973,0.2905405405405405,21241000.0,5.0,5696285.471698113,2.792452830188679,기타,본  점,0.69,70.0,0.012031342636295291,4.0,0.45,0.2905405405405405,0.033783783783783786,3.0,1등급고객,0.5067567567567568,208.60811347226985,L/C골프의류,3.0,15.0,1,3.0,가전,예체능,토,fall,11,3.0,0.2,0.25,0.018867924528301886,9,14,8,9133800.0,4,168624930.0,2,0.17482517482517482,7.0,0.0,0.0,0.0,0.02702702702702703,0.48847390220830106,6121956.895062647,2.0555555555555554,0.375,0.5,0.27419354838709675,0.5466817098573997,1.0,0.41509433962264153,0.43243243243243246,0.1351351351351351,99.32,102913582368741.75
27,217054230,841,258091,35650000,141,82,4,0.2615933412604043,0.19976218787158145,0.28418549346016647,0.2544589774078478,4440000.0,9.0,2647002.8048780486,10.25609756097561,기타,분당점,2.44,34.0,0.23830763399543053,3.0,0.03,0.6206896551724138,0.01070154577883472,,vip고객,0.5838287752675386,149.9794766668241,이지캐주얼,2.0,11.0,3,1.0,가전,식품,토,fall,6,6.0,0.68,0.20214030915576692,0.012195121951219511,6,8,28,,0,73181760.0,0,0.001201923076923077,1.0,837780.0,0.0,0.0,0.01070154577883472,0.2705499911243379,1735263.1039542162,5.964539007092198,0.07731958762886598,0.21052631578947367,0.5789473684210527,0.3151018895042874,1.0,2.707317073170732,0.525564803804994,-0.05112960760998808,97.62,41586876219339.695
28,139213500,57,2442342,19032000,32,23,15,0.2631578947368421,0.14035087719298245,0.24561403508771928,0.3508771929824561,,,6052760.869565218,2.4782608695652173,기타,영등포점,-0.21,64.0,0.0026972958800691024,3.0,0.67,0.24561403508771928,0.0,,3등급고객,0.2631578947368421,96.19332401380483,,2.0,6.0,4,3.0,명품,의류,토,fall,1,,0.12,0.49122807017543857,0.04347826086956522,4,7,7,20918000.0,6,93577900.0,15,0.07017543859649122,1.0,0.0,0.0,0.0,0.12280701754385964,0.5642304805209265,3395132.865533256,1.78125,0.7931034482758621,0.30434782608695654,0.391304347826087,-0.48535879389016523,1.0,0.8695652173913043,0.5789473684210527,-0.1578947368421053,64.91,32581856495425.32
29,2156050,11,196005,630000,6,3,28,0.36363636363636365,0.0,0.0,0.6363636363636364,,,718683.3333333334,3.6666666666666665,가공식품,잠실점,-0.26,,0.9878249576772339,4.0,0.0,0.8181818181818182,0.0,,수면고객,1.0,1.489780920959274,,,,2,1.0,식품,식품,수,fall,2,2.0,0.55,0.6363636363636364,0.33333333333333337,0,0,7,,0,1526050.0,221,0.0,0.0,0.0,0.0,0.0,0.0,0.9183692400454535,256344.51081946873,1.8333333333333333,0.0,0.0,0.0,-0.48535879389016523,0.0,2.6666666666666665,1.0,-1.0,81.82,233664600555.55554
30,200934660,75,2679129,12835200,44,27,12,0.24,0.16,0.44,0.16,,,7442024.444444444,2.7777777777777777,시티웨어,관악점,0.58,40.0,0.0005392797837864309,1.0,0.52,0.29333333333333333,0.0,,1등급고객,0.7333333333333333,138.84122484517457,,1.0,20.0,2,3.0,예체능,의류,금,fall,9,1.0,0.12,0.3466666666666667,0.037037037037037035,11,7,6,4890600.0,2,123383760.0,10,0.18666666666666668,3.0,0.0,0.0,0.0,0.09333333333333334,0.6666418824905569,2848757.6108442666,1.7045454545454546,0.5227272727272727,0.34146341463414637,0.1951219512195122,-0.48535879389016523,0.8181818181818182,0.8518518518518519,0.38666666666666666,0.22666666666666663,88.0,33375043029017.277
31,355200,4,88800,259200,2,2,48,0.0,0.75,0.25,0.0,,,177600.0,2.0,가공식품,분당점,0.01,,1.0,2.0,0.0,1.0,0.0,,수면고객,0.25,0.2454350238281738,,,,1,1.0,식품,식품,토,summer,6,,0.75,0.75,0.5,0,0,3,,0,96000.0,101,0.0,0.0,259200.0,0.0,0.0,0.0,1.0,117068.1852597024,2.0,0.0,0.0,0.0,-0.48535879389016523,0.0,0.5,0.75,-0.5,75.0,6658560000.0
32,480431110,518,927473,46440000,189,108,3,0.31467181467181465,0.24324324324324326,0.28185328185328185,0.16023166023166024,4773700.0,3.0,4448436.203703703,4.796296296296297,기타,미아점,0.01,25.0,0.04905987457806386,3.0,0.23,0.40733590733590735,0.005791505791505791,1.0,vip고객,0.6293436293436293,331.9668382056475,트래디셔널Ⅱ,12.0,38.0,3,2.0,가전,식품,일,fall,4,22.0,0.46,0.21235521235521232,0.009259259259259259,25,17,28,,0,93989780.0,8,0.027184466019417475,2.0,5098500.0,0.0,0.0,0.007722007722007722,0.3226092082171781,2979654.3234647284,2.740740740740741,0.3303834808259587,0.367816091954023,0.28735632183908044,-0.18148020112004895,1.0,1.5648148148148149,0.4749034749034749,0.05019305019305015,40.93,51424807520055.03
33,38068520,43,885314,7935000,25,15,4,0.0,0.0,0.8604651162790697,0.13953488372093023,13930000.0,3.0,2537901.3333333335,2.8666666666666667,기타,강남점,1.38,25.0,0.039015701162009975,3.0,0.44,0.3953488372093023,0.06976744186046512,,1등급고객,0.9534883720930233,26.30447103970527,란제리행사,,5.0,2,2.0,예체능,식품,수,fall,11,2.0,0.44,0.32558139534883723,0.06666666666666667,3,7,9,14935000.0,5,35777520.0,1,0.075,0.0,0.0,0.0,0.0,0.09302325581395349,0.7258890022517293,2788962.8376080208,1.72,0.19047619047619047,0.3333333333333333,0.5555555555555556,1.7025670740546723,0.18181818181818182,2.1333333333333333,0.0,1.0,58.14,19658689414758.227
34,19296840,14,1378346,15900000,10,8,33,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.42857142857142855,15900000.0,1.0,2412105.0,1.75,피혁잡화,잠실점,-0.18,8.0,0.01789723084194096,3.0,0.64,0.5714285714285714,0.07142857142857142,,수면고객,0.8571428571428571,13.333672255654442,시니어,,3.0,1,2.0,여성의류,식품,수,fall,8,,0.29,0.35714285714285715,0.125,0,2,5,,0,2889640.0,92,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.7189508748582669,6633486.461181067,1.4,0.5,0.0,0.6666666666666666,0.8820948735753581,0.36363636363636365,0.375,0.5714285714285714,-0.14285714285714285,92.86,82748415395975.0
35,190634260,795,239792,20284000,151,122,2,0.19371069182389938,0.23773584905660378,0.29056603773584905,0.2779874213836478,82168800.0,34.0,1562575.9016393442,6.516393442622951,기타,일산점,3.51,18.0,0.2797503449799632,3.0,0.09,0.6213836477987421,0.042767295597484274,2.0,vip고객,0.7232704402515723,131.72388554495012,캐릭터 여화,2.0,30.0,4,1.0,명품,식품,화,fall,12,38.0,0.66,0.16226415094339625,0.008196721311475409,9,35,24,13026000.0,7,127402730.0,0,0.005256241787122208,7.0,0.0,0.0,0.0,0.006289308176100629,0.5666936257942302,1683536.3060315235,5.264900662251655,0.0708955223880597,0.14864864864864866,0.5675675675675675,1.218353972132454,1.0,2.5327868852459017,0.43647798742138366,0.12704402515723268,50.94,22863502017119.29
36,16328000,4,4082000,15130000,3,2,24,1.0,0.0,0.0,0.0,,,8164000.0,2.0,시티웨어,분당점,-0.08,,0.0,,0.25,0.25,0.0,,수면고객,0.0,11.282272153903214,,,,1,3.0,가전,의류,일,spring,4,1.0,0.25,1.0,0.5,0,0,3,,0,780000.0,246,0.0,0.0,0.0,0.0,0.0,1.0,0.07337089661930427,7371208.132547428,1.3333333333333333,1.0,0.0,0.0,-0.48535879389016523,0.09090909090909091,1.5,1.0,-1.0,75.0,48525156000000.0
37,105878600,37,2861584,28900000,21,13,24,0.24324324324324326,0.10810810810810811,0.4594594594594595,0.1891891891891892,22960000.0,3.0,8144507.692307692,2.8461538461538463,기타,대전점,0.38,,0.0012863789283197927,2.0,0.59,0.13513513513513514,0.08108108108108109,,3등급고객,0.8918918918918919,73.15967543325924,비지니스군,5.0,3.0,1,3.0,생활용품,의류,목,fall,11,2.0,0.19,0.35135135135135137,0.07692307692307691,7,0,7,5070000.0,2,73576200.0,14,0.14705882352941177,1.0,0.0,0.0,0.0,0.05405405405405406,0.42430670598213427,7447426.655806595,1.7619047619047619,0.7333333333333333,0.45,0.05,1.1976611045289405,0.36363636363636365,0.15384615384615385,0.3783783783783784,0.2432432432432432,97.3,124807307068402.36
38,9850000,3,3283333,5750000,2,3,40,0.3333333333333333,0.6666666666666666,0.0,0.0,,,3283333.3333333335,1.0,화장품,본  점,-0.0,38.0,0.0,,1.0,0.6666666666666666,0.0,,수면고객,1.0,6.806123267757635,,,2.0,1,3.0,화장품,화장품,화,summer,7,,0.0,0.3333333333333333,0.33333333333333337,0,0,1,,0,9000000.0,138,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.41624365482233505,2450170.06212494,1.5,0.0,0.0,1.0,-0.48535879389016523,0.09090909090909091,0.0,0.3333333333333333,0.3333333333333333,66.67,4002222222222.2227
